epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,44.5492,0.32319,0.71667,1,0.56655,0.000231,0.000231,0.000231
2,85.0079,0.35488,0.63333,1,0.64729,0.000464357,0.000464357,0.000464357
3,128.294,0.31637,0.65556,1,0.63784,0.000693001,0.000693001,0.000693001
4,172.212,0.31835,0.66111,1,0.61718,0.000692794,0.000692794,0.000692794
5,216.006,0.32318,0.72222,1,0.60268,0.000685726,0.000685726,0.000685726
6,259.403,0.24571,0.66111,1,0.62262,0.000678657,0.000678657,0.000678657
7,300.63,0.23981,0.67222,1,0.61423,0.000671588,0.000671588,0.000671588
8,345.489,0.23836,0.7,1,0.57987,0.00066452,0.00066452,0.00066452
9,389.721,0.20578,0.64444,1,0.63866,0.000657451,0.000657451,0.000657451
10,430.212,0.23128,0.68889,1,0.6053,0.000650383,0.000650383,0.000650383
11,470.406,0.2426,0.74444,1,0.55795,0.000643314,0.000643314,0.000643314
12,513.053,0.22298,0.65556,1,0.61509,0.000636245,0.000636245,0.000636245
13,553.539,0.29001,0.67222,1,0.59807,0.000629177,0.000629177,0.000629177
14,594.664,0.26448,0.72778,1,0.57215,0.000622108,0.000622108,0.000622108
