epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
35,1442.8,0.19386,0.72222,1,0.58093,0.000473668,0.000473668,0.000473668
36,1485.15,0.13212,0.72222,1,0.56416,0.000466599,0.000466599,0.000466599
37,1526.43,0.12191,0.67222,1,0.60337,0.00045953,0.00045953,0.00045953
38,1567.44,0.13586,0.69444,1,0.60254,0.000452462,0.000452462,0.000452462
39,1608.73,0.13839,0.71667,1,0.59141,0.000445393,0.000445393,0.000445393
40,1650.49,0.19403,0.71667,1,0.59208,0.000438325,0.000438325,0.000438325
41,1691.77,0.12423,0.70556,1,0.58253,0.000431256,0.000431256,0.000431256
42,1733.55,0.1789,0.71111,1,0.56773,0.000424187,0.000424187,0.000424187
43,1775.64,0.13288,0.72778,1,0.56594,0.000417119,0.000417119,0.000417119
44,1817.28,0.11356,0.70556,1,0.56677,0.00041005,0.00041005,0.00041005
45,1860.56,0.12341,0.72222,1,0.57509,0.000402982,0.000402982,0.000402982
46,1901.58,0.154,0.69444,1,0.61137,0.000395913,0.000395913,0.000395913
47,1943.69,0.1066,0.68333,1,0.61709,0.000388844,0.000388844,0.000388844
48,1990.19,0.10418,0.72222,1,0.56317,0.000381776,0.000381776,0.000381776
49,2033.15,0.13843,0.72778,1,0.57224,0.000374707,0.000374707,0.000374707
50,2074.23,0.11769,0.70556,1,0.57012,0.000367639,0.000367639,0.000367639
51,2116.03,0.1204,0.70556,1,0.58233,0.00036057,0.00036057,0.00036057
52,2159,0.14937,0.71111,1,0.57545,0.000353501,0.000353501,0.000353501
53,2199.83,0.11176,0.71667,1,0.57446,0.000346433,0.000346433,0.000346433
54,2240.3,0.0703,0.68889,1,0.60184,0.000339364,0.000339364,0.000339364
55,2281.04,0.09562,0.68333,1,0.60326,0.000332296,0.000332296,0.000332296
56,2321.46,0.08369,0.66667,1,0.60984,0.000325227,0.000325227,0.000325227
57,2363.06,0.11635,0.70556,1,0.5985,0.000318158,0.000318158,0.000318158
58,2404.52,0.10188,0.73889,1,0.56538,0.00031109,0.00031109,0.00031109
59,2444.96,0.12584,0.73333,1,0.55581,0.000304021,0.000304021,0.000304021
60,2485.52,0.07664,0.70556,1,0.5783,0.000296953,0.000296953,0.000296953
61,2525.4,0.0631,0.71667,1,0.56614,0.000289884,0.000289884,0.000289884
62,2565.06,0.12846,0.68889,1,0.59248,0.000282815,0.000282815,0.000282815
63,2606.52,0.09171,0.7,1,0.60768,0.000275747,0.000275747,0.000275747
64,2647.07,0.09721,0.7,1,0.58697,0.000268678,0.000268678,0.000268678
65,2688.62,0.095,0.68889,1,0.59401,0.00026161,0.00026161,0.00026161
66,2727.07,0.0981,0.72222,1,0.57627,0.000254541,0.000254541,0.000254541
67,2767.85,0.0892,0.71667,1,0.56875,0.000247472,0.000247472,0.000247472
68,2809.73,0.09177,0.68333,1,0.60619,0.000240404,0.000240404,0.000240404
69,2852.82,0.078,0.67778,1,0.60471,0.000233335,0.000233335,0.000233335
70,2896.13,0.06794,0.72222,1,0.58367,0.000226267,0.000226267,0.000226267
71,2951.41,0.07443,0.67778,1,0.58037,0.000219198,0.000219198,0.000219198
72,2992.29,0.0932,0.7,1,0.57851,0.000212129,0.000212129,0.000212129
73,3030.19,0.09148,0.7,1,0.57441,0.000205061,0.000205061,0.000205061
74,3075.74,0.08674,0.66667,1,0.62867,0.000197992,0.000197992,0.000197992
75,3118.08,0.07487,0.67778,1,0.60311,0.000190924,0.000190924,0.000190924
76,3158.79,0.06846,0.7,1,0.57371,0.000183855,0.000183855,0.000183855
77,3201,0.08658,0.71667,1,0.55674,0.000176786,0.000176786,0.000176786
78,3241.52,0.06297,0.74444,1,0.54757,0.000169718,0.000169718,0.000169718
79,3280.78,0.06804,0.73333,1,0.56723,0.000162649,0.000162649,0.000162649
80,3320.17,0.05366,0.73333,1,0.56952,0.000155581,0.000155581,0.000155581
81,3360.63,0.10518,0.73333,1,0.56363,0.000148512,0.000148512,0.000148512
82,3405.55,0.06033,0.72778,1,0.55718,0.000141443,0.000141443,0.000141443
83,3446.7,0.04606,0.74444,1,0.55148,0.000134375,0.000134375,0.000134375
84,3484.47,0.05731,0.73333,1,0.55258,0.000127306,0.000127306,0.000127306
85,3521.46,0.07285,0.73333,1,0.55812,0.000120238,0.000120238,0.000120238
86,3559.3,0.06155,0.68889,1,0.58078,0.000113169,0.000113169,0.000113169
87,3598.56,0.04955,0.69444,1,0.58634,0.0001061,0.0001061,0.0001061
88,3638.8,0.10442,0.71111,1,0.58101,9.90318e-05,9.90318e-05,9.90318e-05
89,3677.03,0.06667,0.72778,1,0.56589,9.19632e-05,9.19632e-05,9.19632e-05
90,3720.97,0.1198,0.72222,1,0.56927,8.48946e-05,8.48946e-05,8.48946e-05
91,3762.78,0.08137,0.72222,1,0.58224,7.7826e-05,7.7826e-05,7.7826e-05
92,3805.17,0.03936,0.71111,1,0.58013,7.07574e-05,7.07574e-05,7.07574e-05
93,3851.3,0.04953,0.70556,1,0.57331,6.36888e-05,6.36888e-05,6.36888e-05
94,3889.67,0.06177,0.69444,1,0.58608,5.66202e-05,5.66202e-05,5.66202e-05
95,3931.61,0.03705,0.7,1,0.57599,4.95516e-05,4.95516e-05,4.95516e-05
96,3971.76,0.04212,0.69444,1,0.58006,4.2483e-05,4.2483e-05,4.2483e-05
97,4011.98,0.05632,0.69444,1,0.57577,3.54144e-05,3.54144e-05,3.54144e-05
98,4055.35,0.04927,0.69444,1,0.58024,2.83458e-05,2.83458e-05,2.83458e-05
99,4093.74,0.07784,0.69444,1,0.57848,2.12772e-05,2.12772e-05,2.12772e-05
100,4138.72,0.05558,0.69444,1,0.59049,1.42086e-05,1.42086e-05,1.42086e-05
