epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,42.2471,0.32319,0.71667,1,0.56655,0.000231,0.000231,0.000231
2,78.0259,0.35488,0.63333,1,0.64729,0.000464357,0.000464357,0.000464357
3,118.695,0.31637,0.65556,1,0.63784,0.000693001,0.000693001,0.000693001
4,163.991,0.31835,0.66111,1,0.61718,0.000692794,0.000692794,0.000692794
5,205.764,0.32318,0.72222,1,0.60268,0.000685726,0.000685726,0.000685726
6,245.679,0.24571,0.66111,1,0.62262,0.000678657,0.000678657,0.000678657
7,286.582,0.23981,0.67222,1,0.61423,0.000671588,0.000671588,0.000671588
8,324.942,0.23836,0.7,1,0.57987,0.00066452,0.00066452,0.00066452
9,370.368,0.20578,0.64444,1,0.63866,0.000657451,0.000657451,0.000657451
10,414.313,0.23128,0.68889,1,0.6053,0.000650383,0.000650383,0.000650383
11,453.106,0.2426,0.74444,1,0.55795,0.000643314,0.000643314,0.000643314
12,492.824,0.22298,0.65556,1,0.61509,0.000636245,0.000636245,0.000636245
13,531.641,0.29001,0.67222,1,0.59807,0.000629177,0.000629177,0.000629177
14,574.536,0.26448,0.72778,1,0.57215,0.000622108,0.000622108,0.000622108
15,614.327,0.26372,0.68889,1,0.58092,0.00061504,0.00061504,0.00061504
16,656.553,0.30213,0.72222,1,0.55781,0.000607971,0.000607971,0.000607971
17,696.659,0.24787,0.69444,1,0.59151,0.000600902,0.000600902,0.000600902
18,735.801,0.27572,0.67222,1,0.61143,0.000593834,0.000593834,0.000593834
19,776.047,0.23406,0.63333,1,0.64531,0.000586765,0.000586765,0.000586765
20,815.63,0.27171,0.66667,1,0.61908,0.000579697,0.000579697,0.000579697
21,855.703,0.24932,0.69444,1,0.57913,0.000572628,0.000572628,0.000572628
22,897.987,0.23436,0.68889,1,0.60527,0.000565559,0.000565559,0.000565559
23,936.999,0.22759,0.72222,1,0.55801,0.000558491,0.000558491,0.000558491
24,978.895,0.21316,0.71111,1,0.59032,0.000551422,0.000551422,0.000551422
25,1017.81,0.175,0.68333,1,0.58601,0.000544354,0.000544354,0.000544354
26,1060.58,0.15346,0.73333,1,0.56609,0.000537285,0.000537285,0.000537285
27,1100.45,0.16773,0.7,1,0.59473,0.000530216,0.000530216,0.000530216
28,1141.13,0.17192,0.71667,1,0.58161,0.000523148,0.000523148,0.000523148
29,1185.31,0.17231,0.67778,1,0.62186,0.000516079,0.000516079,0.000516079
30,1228.41,0.17288,0.66667,1,0.59293,0.000509011,0.000509011,0.000509011
31,1270.44,0.1568,0.68333,1,0.59692,0.000501942,0.000501942,0.000501942
32,1315.66,0.18349,0.71111,1,0.58919,0.000494873,0.000494873,0.000494873
33,1360.46,0.16735,0.70556,1,0.58392,0.000487805,0.000487805,0.000487805
34,1401.17,0.16879,0.68333,1,0.59001,0.000480736,0.000480736,0.000480736
